TAXID,SAMPLE,SEQUENCE_ID,START,END,STRAND,GENE,COVERAGE,COVERAGE_MAP,GAPS,COVERAGE_PCT,IDENTITY_PCT,DATABASE,ACCESSION,PRODUCT,RESISTANCE,NAME
434,S10,91afd903-de99-4fcc-88bc-9824b4eb3802,2854,3377,+,ANT(2'')-Ia,1-534/534,========/======,18/26,96.63,90.78,card,AF078527.1:3769-4303,Plasmid or integron-encoded nucleotidylylation of 2-deoxystreptamine aminoglycosides at the hydroxyl group at position 2'' in P. aeruginosa K. pneumoniae Morganella morganii E. coli S. typhimurium C. freundii and A. baumannii.,aminoglycoside,Acetobacter
222,S10,7bdccb34-f0f8-4d27-a2c3-9fc849a06719,2774,3868,+,AxyX,40-1141/1176,========/======,16/27,92.26,83,card,AFRQ01000061.1:28306-27130,AxyX is the inner membrane transporter of the AxyXY-OprZ efflux pump system in Achromobacter spp.,aminoglycoside;cephalosporin;fluoroquinolone;macrolide,Achromobacter
222,S2,d76ba9dd-45d9-4ffe-8ac8-94d13139cd01,1089,2111,+,bplA,21-1053/1053,========/======,15/26,96.39,82.04,vfdb,WP_003807115,(bplA) probable oxidoreductase [LPS (VF0033) - Immune modulation (VFC0258)] [Bordetella pertussis Tohama I],NA,Achromobacter
222,S2,94454b8f-6baa-48e2-8802-c4c3d9408e29,3925,4483,+,bplB,9-568/576,========/======,1-Jan,97.05,82.32,vfdb,WP_003807114,(bplB) probable acetyltransferase [LPS (VF0033) - Immune modulation (VFC0258)] [Bordetella pertussis Tohama I],NA,Achromobacter
222,S10,3e9d0fcf-a6fb-4b4f-b391-9276204007a4,3063,4175,+,AxyX,25-1141/1176,========/======,16-Sep,94.13,83.88,card,AFRQ01000061.1:28306-27130,AxyX is the inner membrane transporter of the AxyXY-OprZ efflux pump system in Achromobacter spp.,aminoglycoside;cephalosporin;fluoroquinolone;macrolide,Achromobacter
222,S10,3e9d0fcf-a6fb-4b4f-b391-9276204007a4,7398,8775,+,OprZ,11-1378/1392,========/======,18-Oct,97.99,83.65,card,AFRQ01000061.1:23990-22598,OprZ is the outer membrane component of the AxyXY-OprZ efflux pump system in Achromobacter spp.,aminoglycoside;cephalosporin;fluoroquinolone;macrolide,Achromobacter
222,S2,19cfa489-6a03-4a78-8c3a-b9e6c9d54920,3140,5683,+,AxyY,1-2552/3138,========/====..,15/24,80.82,87.31,card,AFRQ01000061.1:27124-23986,AxyY is the periplasmic adaptor protein of the AxyXY-OprZ efflux pump system in Achromobacter spp.,aminoglycoside;cephalosporin;fluoroquinolone;macrolide,Achromobacter
222,S2,e2208b0a-af15-477a-956f-3192d78db1a2,4603,7691,-,AxyY,1-3138/3138,========/======,95/169,96.53,81.11,card,AFRQ01000061.1:27124-23986,AxyY is the periplasmic adaptor protein of the AxyXY-OprZ efflux pump system in Achromobacter spp.,aminoglycoside;cephalosporin;fluoroquinolone;macrolide,Achromobacter
222,S2,19cfa489-6a03-4a78-8c3a-b9e6c9d54920,1978,3082,+,AxyX,1-1115/1176,========/======,17/42,92.6,81.17,card,AFRQ01000061.1:28306-27130,AxyX is the inner membrane transporter of the AxyXY-OprZ efflux pump system in Achromobacter spp.,aminoglycoside;cephalosporin;fluoroquinolone;macrolide,Achromobacter
222,S10,3e9d0fcf-a6fb-4b4f-b391-9276204007a4,4253,7391,+,AxyY,1-3138/3138,========/======,33/53,99.17,88.75,card,AFRQ01000061.1:27124-23986,AxyY is the periplasmic adaptor protein of the AxyXY-OprZ efflux pump system in Achromobacter spp.,aminoglycoside;cephalosporin;fluoroquinolone;macrolide,Achromobacter
